source_system,source_field,canonical_field,transform,transform_null_handling,null_rule,data_type,conflict_rule,business_owner,acceptance_criterion_sql
GW-A,failure_ty,canonical,LOOKUP,Map GW-A,REJECT,If failure_timestamp is NULL,VARCHAR,CANONICAL,Ops Lead,'SELECT COUNT(*) FROM payment_failure_master WHERE source_system='GW-A' AND canonical_failure_category IS NULL -- Expected: 0'
GW-A,transaction,transaction,DIRECT,Copy as-is,REJECT,Transaction ID is NULL,VARCHAR,N/A,Ops Lead,SELECT COUNT(*) FROM payment_failure_master WHERE source_system='GW-A' AND transaction_id IS NULL -- Expected: 0
GW-A,event_tim,failure_ti,DIRECT,Copy as-is,REJECT,Cannot process,TIMESTAMP,N/A,Engineering,SELECT COUNT(*) FROM payment_failure_master WHERE source_system='GW-A' AND failure_timestamp IS NULL -- Expected: 0
GW-A,amount_transaction,DERIVED,Divide by,ALERT,Allow null,DECIMAL,N/A,Finance Ops,SELECT COUNT(*) FROM payment_failure_master WHERE source_system='GW-A' AND transaction_amount_inr < 0 -- Expected: 0
GW-A,gateway_ev,gateway_ev,DIRECT,Copy as-is,REJECT,Cannot identify,VARCHAR,N/A,Engineering,SELECT COUNT(*) FROM payment_failure_master WHERE gateway_identifier IS NULL -- Expected: 0
GW-B,error_cod,canonical,LOOKUP,Map GW-B,REJECT,If error_code is NULL,VARCHAR,CANONICAL,Ops Lead,SELECT COUNT(*) FROM payment_failure_master WHERE source_system='GW-B' AND canonical_failure_category IS NULL -- Expected: 0
GW-B,ref_numb,transaction,DIRECT,Copy as-is,REJECT,Transaction ID is NULL,VARCHAR,N/A,Ops Lead,SELECT COUNT(*) FROM payment_failure_master WHERE source_system='GW-B' AND transaction_id IS NULL -- Expected: 0
GW-B,created_a,failure_ti,DIRECT,Copy as-is,REJECT,Cannot process,TIMESTAMP,N/A,Engineering,SELECT COUNT(*) FROM payment_failure_master WHERE source_system='GW-B' AND failure_timestamp IS NULL -- Expected: 0
GW-B,value_rup,transaction,DIRECT,Copy as-is,ALERT,Allow null,DECIMAL,N/A,Finance Ops,SELECT COUNT(*) FROM payment_failure_master WHERE source_system='GW-B' AND transaction_amount_inr < 0 -- Expected: 0
UPSTREAM,status_co,canonical,CONDITIONAL,CRITICAL,APPLY_RULE,VARCHAR,N/A,Ops Lead,SELECT COUNT(*) FROM payment_failure_master WHERE source_system='UPSTREAM_SVC' AND canonical_failure_category IS NULL -- Expected: 0 after APPLY_RULE
UPSTREAM,txn_id,transaction,DIRECT,Copy as-is,REJECT,Cannot process,VARCHAR,N/A,Engineering,SELECT COUNT(*) FROM payment_failure_master WHERE source_system='UPSTREAM_SVC' AND transaction_id IS NULL -- Expected: 0
UPSTREAM,elapsed_t,elapsed_time,DIRECT,Copy as-is,APPLY_RULE,"If null, set",INTEGER,N/A,N/A,SELECT COUNT(*) FROM payment_failure_master WHERE source_system='UPSTREAM_SVC' AND elapsed_time IS NULL -- Expected: 0 after APPLY_RULE
